EmpleadoID,Sector,Fecha,Proyecto,Producto,Inspecciones,NoConformes,UnidadesEntregadas
9,Mantenimiento,2024-06-21,Refinería VacaMuerta,Filtro,28,5,140
9,Mantenimiento,2024-08-02,Refinería VacaMuerta,Filtro,22,5,88
10,Seguridad,2024-09-16,Planta Eléctrica Loma,Filtro,9,2,18
10,Seguridad,2024-04-01,Refinería VacaMuerta,Bomba,11,3,33
10,Seguridad,2024-03-12,Refinería VacaMuerta,Válvula,13,4,52
11,Seguridad,2024-06-27,Planta Eléctrica Loma,Tubería,22,4,66
11,Seguridad,2024-03-20,Oleoducto Andino,Tubería,13,0,26
11,Seguridad,2024-02-04,Planta Eléctrica Loma,Válvula,28,0,56
12,Perforación,2024-05-18,Planta Eléctrica Loma,Tubería,21,2,63
12,Perforación,2024-03-21,Oleoducto Andino,Tanque,22,3,110
13,Seguridad,2024-04-24,Refinería VacaMuerta,Filtro,26,0,52
13,Seguridad,2024-06-04,Planta Eléctrica Loma,Válvula,9,0,45
13,Seguridad,2024-06-14,Planta Eléctrica Loma,Bomba,7,1,28
13,Seguridad,2024-08-22,Planta Separadora,Válvula,19,6,95
13,Seguridad,2024-03-11,Oleoducto Andino,Tubería,7,2,28
14,Perforación,2024-05-20,Gasoducto Sur,Válvula,22,2,66
14,Perforación,2024-05-15,Gasoducto Sur,Bomba,7,1,28
15,Producción,2024-03-16,Gasoducto Sur,Tubería,18,4,72
15,Producción,2024-06-17,Oleoducto Andino,Válvula,14,4,70
15,Producción,2024-02-12,Planta Separadora,Filtro,23,6,115
16,Seguridad,2024-05-25,Gasoducto Sur,Tubería,9,0,27
16,Seguridad,2024-07-01,Gasoducto Sur,Filtro,23,3,46
17,Producción,2024-10-14,Oleoducto Andino,Válvula,19,3,38
17,Producción,2024-07-12,Oleoducto Andino,Tubería,19,2,95
17,Producción,2024-07-20,Oleoducto Andino,Bomba,29,2,116
17,Producción,2024-05-19,Gasoducto Sur,Bomba,27,3,54
18,Producción,2024-07-03,Planta Eléctrica Loma,Tanque,5,1,10
18,Producción,2024-08-04,Planta Eléctrica Loma,Filtro,19,4,76
18,Producción,2024-12-24,Refinería VacaMuerta,Tubería,19,4,38
18,Producción,2024-12-21,Planta Separadora,Tanque,24,6,120
18,Producción,2024-05-03,Planta Separadora,Tanque,23,1,115
19,Perforación,2024-01-28,Oleoducto Andino,Válvula,14,4,42
19,Perforación,2024-03-02,Planta Separadora,Válvula,27,0,54
20,Seguridad,2024-11-11,Oleoducto Andino,Bomba,29,4,145
20,Seguridad,2024-04-18,Oleoducto Andino,Tanque,13,0,26
20,Seguridad,2024-12-21,Gasoducto Sur,Válvula,18,2,72
20,Seguridad,2024-02-01,Refinería VacaMuerta,Válvula,19,5,57
20,Seguridad,2024-07-21,Oleoducto Andino,Válvula,26,1,78
21,Seguridad,2024-06-03,Planta Separadora,Tubería,25,3,75
21,Seguridad,2024-04-26,Gasoducto Sur,Válvula,25,5,50
21,Seguridad,2024-08-21,Gasoducto Sur,Tubería,11,3,22
21,Seguridad,2024-02-14,Gasoducto Sur,Tanque,14,1,56
22,Producción,2024-05-20,Planta Separadora,Tanque,20,1,100
22,Producción,2024-07-07,Planta Separadora,Tubería,28,7,84
22,Producción,2024-09-20,Oleoducto Andino,Tubería,30,10,150
23,Mantenimiento,2024-09-06,Oleoducto Andino,Filtro,15,3,60
23,Mantenimiento,2024-04-04,Planta Eléctrica Loma,Tubería,16,5,32
24,Perforación,2024-11-23,Refinería VacaMuerta,Tanque,5,0,15
24,Perforación,2024-12-18,Oleoducto Andino,Tubería,21,5,63
24,Perforación,2024-07-20,Planta Separadora,Válvula,11,3,33
25,Mantenimiento,2024-01-16,Planta Separadora,Bomba,21,6,42
25,Mantenimiento,2024-06-10,Planta Eléctrica Loma,Tanque,26,1,52
25,Mantenimiento,2024-07-14,Gasoducto Sur,Filtro,27,0,54
25,Mantenimiento,2024-10-03,Gasoducto Sur,Válvula,27,5,54
25,Mantenimiento,2024-06-27,Planta Eléctrica Loma,Bomba,13,2,52
26,Mantenimiento,2024-03-28,Gasoducto Sur,Tanque,11,1,55
26,Mantenimiento,2024-10-26,Refinería VacaMuerta,Tanque,7,2,21
27,Perforación,2024-11-16,Oleoducto Andino,Tanque,20,6,100
27,Perforación,2024-02-13,Oleoducto Andino,Bomba,11,1,55
28,Mantenimiento,2024-03-08,Oleoducto Andino,Tubería,11,1,22
28,Mantenimiento,2024-08-03,Refinería VacaMuerta,Bomba,16,5,48
28,Mantenimiento,2024-10-15,Planta Separadora,Filtro,23,3,46
28,Mantenimiento,2024-04-09,Planta Separadora,Filtro,8,2,24
29,Perforación,2024-02-14,Refinería VacaMuerta,Válvula,25,4,125
29,Perforación,2024-12-23,Planta Separadora,Válvula,17,2,68
29,Perforación,2024-05-19,Planta Eléctrica Loma,Válvula,29,2,58
30,Mantenimiento,2024-02-08,Planta Eléctrica Loma,Válvula,27,4,81
30,Mantenimiento,2024-03-18,Refinería VacaMuerta,Filtro,22,7,88
31,Mantenimiento,2024-07-27,Planta Separadora,Válvula,21,1,84
31,Mantenimiento,2024-12-23,Gasoducto Sur,Bomba,7,0,28
31,Mantenimiento,2024-01-03,Planta Eléctrica Loma,Filtro,27,8,108
31,Mantenimiento,2024-11-01,Gasoducto Sur,Tubería,16,0,48
32,Perforación,2024-12-24,Refinería VacaMuerta,Tanque,28,9,140
32,Perforación,2024-06-12,Oleoducto Andino,Válvula,30,9,90
33,Mantenimiento,2024-06-12,Planta Separadora,Válvula,30,6,120
33,Mantenimiento,2024-12-09,Planta Separadora,Tanque,28,2,84
33,Mantenimiento,2024-01-14,Oleoducto Andino,Tubería,21,2,84
34,Perforación,2024-12-19,Gasoducto Sur,Tubería,21,1,105
34,Perforación,2024-11-24,Gasoducto Sur,Tubería,27,9,108
34,Perforación,2024-10-17,Planta Eléctrica Loma,Válvula,10,1,30
35,Producción,2024-01-14,Planta Separadora,Válvula,22,2,88
35,Producción,2024-09-15,Refinería VacaMuerta,Bomba,15,5,60
36,Perforación,2024-11-05,Oleoducto Andino,Filtro,20,3,60
36,Perforación,2024-07-01,Refinería VacaMuerta,Tubería,9,3,18
36,Perforación,2024-08-08,Planta Separadora,Tubería,20,0,40
37,Perforación,2024-11-17,Oleoducto Andino,Válvula,8,1,16
37,Perforación,2024-05-20,Planta Eléctrica Loma,Tubería,23,3,46
37,Perforación,2024-05-05,Refinería VacaMuerta,Bomba,14,1,28
38,Seguridad,2024-01-02,Planta Eléctrica Loma,Filtro,19,4,76
38,Seguridad,2024-07-12,Gasoducto Sur,Bomba,7,0,35
38,Seguridad,2024-01-19,Gasoducto Sur,Tubería,7,0,28
38,Seguridad,2024-07-20,Refinería VacaMuerta,Tanque,29,7,87
39,Logística,2024-03-08,Gasoducto Sur,Bomba,16,2,32
39,Logística,2024-07-06,Planta Eléctrica Loma,Tanque,29,9,58
39,Logística,2024-11-07,Planta Separadora,Filtro,15,4,45
40,Producción,2024-08-17,Gasoducto Sur,Bomba,9,0,18
40,Producción,2024-10-22,Gasoducto Sur,Bomba,26,3,104
40,Producción,2024-05-02,Gasoducto Sur,Filtro,25,2,100
41,Mantenimiento,2024-03-25,Oleoducto Andino,Válvula,9,0,18
41,Mantenimiento,2024-04-04,Refinería VacaMuerta,Bomba,6,2,24
41,Mantenimiento,2024-10-15,Planta Separadora,Bomba,30,5,150
41,Mantenimiento,2024-05-02,Planta Separadora,Tubería,7,2,28
42,Seguridad,2024-02-11,Refinería VacaMuerta,Tubería,10,0,40
42,Seguridad,2024-08-23,Gasoducto Sur,Válvula,14,2,56
43,Producción,2024-05-23,Refinería VacaMuerta,Bomba,27,2,81
43,Producción,2024-11-04,Planta Separadora,Tubería,13,2,52
44,Logística,2024-03-01,Planta Eléctrica Loma,Válvula,25,6,125
44,Logística,2024-10-03,Oleoducto Andino,Bomba,27,9,108
45,Seguridad,2024-03-12,Gasoducto Sur,Válvula,9,0,18
45,Seguridad,2024-07-04,Planta Eléctrica Loma,Bomba,26,3,78
46,Logística,2024-05-04,Oleoducto Andino,Válvula,16,5,64
46,Logística,2024-06-20,Oleoducto Andino,Tanque,28,5,140
46,Logística,2024-07-13,Planta Eléctrica Loma,Válvula,16,4,80
47,Seguridad,2024-03-26,Gasoducto Sur,Tubería,23,4,92
47,Seguridad,2024-11-18,Gasoducto Sur,Válvula,14,2,56
47,Seguridad,2024-02-05,Refinería VacaMuerta,Tubería,14,4,28
47,Seguridad,2024-05-09,Refinería VacaMuerta,Bomba,10,3,30
48,Producción,2024-04-23,Refinería VacaMuerta,Bomba,30,5,60
48,Producción,2024-12-09,Gasoducto Sur,Válvula,15,2,45
48,Producción,2024-10-24,Gasoducto Sur,Tanque,5,1,15
49,Mantenimiento,2024-07-21,Planta Eléctrica Loma,Tanque,27,1,108
49,Mantenimiento,2024-03-21,Planta Eléctrica Loma,Válvula,27,1,108
50,Logística,2024-01-02,Gasoducto Sur,Válvula,10,2,50
50,Logística,2024-07-14,Planta Separadora,Tubería,6,2,12
50,Logística,2024-09-12,Gasoducto Sur,Tanque,23,7,92
50,Logística,2024-08-16,Planta Eléctrica Loma,Bomba,16,0,48
51,Perforación,2024-05-01,Planta Separadora,Válvula,26,6,78
51,Perforación,2024-09-25,Oleoducto Andino,Filtro,27,1,108
51,Perforación,2024-04-14,Oleoducto Andino,Tubería,14,4,28
51,Perforación,2024-06-20,Oleoducto Andino,Tubería,17,1,34
51,Perforación,2024-03-25,Refinería VacaMuerta,Tubería,20,0,60
52,Mantenimiento,2024-12-04,Planta Separadora,Bomba,21,7,105
52,Mantenimiento,2024-03-25,Oleoducto Andino,Filtro,25,3,75
53,Logística,2024-05-20,Planta Separadora,Tanque,19,5,38
53,Logística,2024-03-22,Planta Eléctrica Loma,Filtro,21,0,63
53,Logística,2024-05-05,Oleoducto Andino,Bomba,5,0,10
53,Logística,2024-04-25,Planta Eléctrica Loma,Tanque,15,3,60
53,Logística,2024-11-21,Planta Separadora,Tubería,20,6,80
54,Logística,2024-04-01,Planta Eléctrica Loma,Válvula,25,5,100
54,Logística,2024-01-08,Oleoducto Andino,Bomba,17,5,51
54,Logística,2024-08-26,Oleoducto Andino,Filtro,18,2,72
54,Logística,2024-03-09,Refinería VacaMuerta,Filtro,10,3,40
54,Logística,2024-09-06,Planta Eléctrica Loma,Filtro,16,0,32
55,Logística,2024-05-18,Refinería VacaMuerta,Tanque,28,6,56
55,Logística,2024-08-02,Planta Eléctrica Loma,Bomba,8,2,32
55,Logística,2024-06-14,Gasoducto Sur,Bomba,10,1,20
56,Perforación,2024-01-06,Oleoducto Andino,Válvula,10,2,50
56,Perforación,2024-02-28,Refinería VacaMuerta,Tanque,24,2,96
56,Perforación,2024-03-24,Gasoducto Sur,Filtro,15,1,60
56,Perforación,2024-07-08,Refinería VacaMuerta,Válvula,24,6,72
57,Logística,2024-05-21,Planta Separadora,Filtro,23,4,115
57,Logística,2024-09-22,Oleoducto Andino,Filtro,12,0,48
57,Logística,2024-12-05,Refinería VacaMuerta,Tanque,30,4,150
58,Mantenimiento,2024-03-03,Oleoducto Andino,Válvula,16,2,48
58,Mantenimiento,2024-01-09,Planta Eléctrica Loma,Bomba,29,7,145
59,Seguridad,2024-08-14,Planta Separadora,Tanque,29,2,145
59,Seguridad,2024-12-21,Planta Separadora,Bomba,30,3,150
59,Seguridad,2024-06-19,Planta Eléctrica Loma,Filtro,25,2,50
60,Logística,2024-01-12,Planta Separadora,Filtro,5,1,10
60,Logística,2024-10-02,Gasoducto Sur,Válvula,20,1,100
60,Logística,2024-02-24,Gasoducto Sur,Tubería,17,2,34
60,Logística,2024-02-19,Gasoducto Sur,Bomba,14,1,56
60,Logística,2024-05-10,Planta Eléctrica Loma,Filtro,15,1,45
61,Mantenimiento,2024-06-01,Planta Separadora,Tubería,7,1,14
61,Mantenimiento,2024-01-12,Oleoducto Andino,Filtro,10,2,40
61,Mantenimiento,2024-12-12,Refinería VacaMuerta,Filtro,10,0,50
62,Producción,2024-06-19,Refinería VacaMuerta,Tubería,15,3,60
62,Producción,2024-08-11,Planta Eléctrica Loma,Filtro,18,1,90
62,Producción,2024-06-04,Gasoducto Sur,Filtro,10,2,30
62,Producción,2024-09-18,Refinería VacaMuerta,Bomba,18,5,72
62,Producción,2024-04-27,Gasoducto Sur,Filtro,19,1,38
63,Producción,2024-01-08,Oleoducto Andino,Tanque,16,5,48
63,Producción,2024-11-22,Planta Separadora,Tubería,7,2,14
63,Producción,2024-10-25,Planta Separadora,Filtro,15,5,75
63,Producción,2024-12-17,Oleoducto Andino,Tubería,17,3,68
63,Producción,2024-06-04,Planta Separadora,Tanque,23,2,69
64,Logística,2024-02-23,Oleoducto Andino,Bomba,29,6,87
64,Logística,2024-11-09,Planta Eléctrica Loma,Tanque,8,2,24
64,Logística,2024-12-15,Oleoducto Andino,Válvula,8,1,24
64,Logística,2024-12-07,Oleoducto Andino,Filtro,9,0,27
64,Logística,2024-09-23,Oleoducto Andino,Tanque,9,2,18
65,Perforación,2024-03-17,Gasoducto Sur,Bomba,12,2,24
65,Perforación,2024-09-05,Gasoducto Sur,Bomba,27,9,135
65,Perforación,2024-07-07,Planta Separadora,Tubería,23,3,115
66,Mantenimiento,2024-03-25,Planta Separadora,Bomba,7,1,21
66,Mantenimiento,2024-07-06,Planta Eléctrica Loma,Válvula,24,0,72
67,Perforación,2024-10-10,Planta Eléctrica Loma,Tanque,9,3,27
67,Perforación,2024-01-14,Planta Separadora,Tanque,30,7,120
67,Perforación,2024-02-21,Gasoducto Sur,Tanque,9,3,45
67,Perforación,2024-09-26,Planta Eléctrica Loma,Tanque,28,4,84
67,Perforación,2024-12-27,Planta Eléctrica Loma,Bomba,6,0,30
68,Producción,2024-06-12,Gasoducto Sur,Bomba,27,1,135
68,Producción,2024-08-12,Planta Separadora,Válvula,13,2,26
68,Producción,2024-12-24,Planta Separadora,Tubería,20,2,80
69,Seguridad,2024-10-24,Refinería VacaMuerta,Tanque,9,0,36
69,Seguridad,2024-12-07,Refinería VacaMuerta,Tubería,18,4,90
69,Seguridad,2024-04-08,Planta Eléctrica Loma,Filtro,21,2,84
70,Perforación,2024-09-14,Gasoducto Sur,Válvula,6,1,12
70,Perforación,2024-11-01,Planta Separadora,Bomba,11,1,22
70,Perforación,2024-03-14,Oleoducto Andino,Tanque,9,3,45
71,Producción,2024-06-03,Planta Separadora,Tanque,5,1,15
71,Producción,2024-09-12,Planta Eléctrica Loma,Filtro,16,3,32
71,Producción,2024-01-16,Gasoducto Sur,Válvula,8,0,16
72,Producción,2024-01-25,Planta Eléctrica Loma,Tanque,14,0,42
72,Producción,2024-02-24,Refinería VacaMuerta,Válvula,8,0,24
72,Producción,2024-12-18,Oleoducto Andino,Tubería,25,8,125
72,Producción,2024-01-27,Refinería VacaMuerta,Bomba,26,8,52
72,Producción,2024-06-07,Planta Separadora,Bomba,20,0,80
73,Mantenimiento,2024-06-24,Planta Separadora,Filtro,18,6,90
73,Mantenimiento,2024-07-09,Gasoducto Sur,Tanque,24,2,48
73,Mantenimiento,2024-10-16,Refinería VacaMuerta,Tubería,27,9,54
73,Mantenimiento,2024-07-01,Refinería VacaMuerta,Válvula,7,1,28
74,Perforación,2024-08-23,Gasoducto Sur,Bomba,29,3,116
74,Perforación,2024-08-07,Gasoducto Sur,Filtro,21,3,63
74,Perforación,2024-12-28,Refinería VacaMuerta,Tubería,17,1,51
75,Perforación,2024-09-07,Oleoducto Andino,Tubería,24,4,72
75,Perforación,2024-05-25,Planta Separadora,Válvula,17,3,85
76,Perforación,2024-11-18,Gasoducto Sur,Bomba,9,1,36
76,Perforación,2024-12-08,Refinería VacaMuerta,Filtro,24,8,96
76,Perforación,2024-09-08,Planta Eléctrica Loma,Filtro,6,1,18
76,Perforación,2024-07-22,Gasoducto Sur,Tubería,19,0,95
77,Logística,2024-11-19,Refinería VacaMuerta,Tubería,29,5,87
77,Logística,2024-04-25,Refinería VacaMuerta,Válvula,25,5,125
77,Logística,2024-06-28,Planta Eléctrica Loma,Tubería,19,4,38
77,Logística,2024-11-28,Planta Eléctrica Loma,Bomba,6,2,18
78,Mantenimiento,2024-10-24,Planta Separadora,Tubería,5,0,25
78,Mantenimiento,2024-10-05,Oleoducto Andino,Tubería,9,2,36
78,Mantenimiento,2024-06-03,Oleoducto Andino,Bomba,25,6,100
78,Mantenimiento,2024-05-08,Planta Separadora,Tubería,15,2,30
78,Mantenimiento,2024-06-12,Planta Separadora,Válvula,10,1,40
79,Perforación,2024-10-25,Refinería VacaMuerta,Bomba,10,0,40
79,Perforación,2024-11-10,Gasoducto Sur,Válvula,5,0,10
79,Perforación,2024-05-26,Gasoducto Sur,Válvula,21,4,42
80,Perforación,2024-07-21,Refinería VacaMuerta,Filtro,26,2,130
80,Perforación,2024-06-17,Planta Eléctrica Loma,Tanque,8,1,32
80,Perforación,2024-01-18,Refinería VacaMuerta,Tubería,17,2,68
81,Perforación,2024-12-21,Planta Separadora,Bomba,5,1,10
81,Perforación,2024-11-11,Oleoducto Andino,Bomba,24,4,72
81,Perforación,2024-03-17,Planta Separadora,Válvula,9,1,36
81,Perforación,2024-05-09,Oleoducto Andino,Bomba,11,1,55
81,Perforación,2024-07-04,Oleoducto Andino,Tubería,14,4,70
82,Seguridad,2024-06-27,Planta Separadora,Válvula,15,1,75
82,Seguridad,2024-01-02,Gasoducto Sur,Filtro,26,8,130
82,Seguridad,2024-05-09,Gasoducto Sur,Tubería,6,0,30
82,Seguridad,2024-07-11,Oleoducto Andino,Bomba,19,1,57
82,Seguridad,2024-01-16,Planta Separadora,Tubería,22,6,66
83,Perforación,2024-09-24,Gasoducto Sur,Bomba,23,7,46
83,Perforación,2024-07-06,Refinería VacaMuerta,Tanque,29,7,116
84,Mantenimiento,2024-02-26,Refinería VacaMuerta,Válvula,13,4,52
84,Mantenimiento,2024-07-07,Oleoducto Andino,Filtro,8,0,24
84,Mantenimiento,2024-06-14,Gasoducto Sur,Válvula,14,1,70
84,Mantenimiento,2024-05-08,Planta Eléctrica Loma,Válvula,16,1,80
85,Producción,2024-01-02,Gasoducto Sur,Válvula,9,1,36
85,Producción,2024-03-08,Refinería VacaMuerta,Bomba,7,0,14
85,Producción,2024-07-25,Gasoducto Sur,Válvula,30,5,120
85,Producción,2024-03-20,Planta Separadora,Tanque,12,0,36
86,Producción,2024-01-06,Planta Separadora,Filtro,18,0,90
86,Producción,2024-09-22,Gasoducto Sur,Bomba,12,2,60
86,Producción,2024-09-01,Gasoducto Sur,Bomba,23,4,69
86,Producción,2024-04-17,Planta Separadora,Filtro,20,3,80
86,Producción,2024-07-28,Planta Eléctrica Loma,Bomba,17,5,34
87,Perforación,2024-11-28,Planta Eléctrica Loma,Bomba,30,4,60
87,Perforación,2024-09-20,Oleoducto Andino,Tanque,24,5,48
87,Perforación,2024-05-02,Oleoducto Andino,Válvula,5,0,15
87,Perforación,2024-06-17,Oleoducto Andino,Bomba,11,1,22
87,Perforación,2024-11-01,Planta Separadora,Tanque,24,6,72
88,Logística,2024-11-20,Refinería VacaMuerta,Tanque,20,0,40
88,Logística,2024-10-11,Planta Separadora,Filtro,20,0,80
88,Logística,2024-08-14,Planta Eléctrica Loma,Filtro,10,2,30
88,Logística,2024-09-06,Oleoducto Andino,Bomba,15,4,60
89,Producción,2024-01-20,Refinería VacaMuerta,Tanque,21,1,42
89,Producción,2024-07-10,Planta Eléctrica Loma,Tanque,12,2,60
89,Producción,2024-02-20,Planta Eléctrica Loma,Tanque,19,4,38
89,Producción,2024-04-07,Planta Eléctrica Loma,Tanque,10,2,20
89,Producción,2024-06-26,Gasoducto Sur,Tanque,24,3,72
90,Perforación,2024-03-26,Planta Eléctrica Loma,Válvula,30,4,150
90,Perforación,2024-09-23,Planta Eléctrica Loma,Tubería,9,0,27
90,Perforación,2024-12-22,Refinería VacaMuerta,Bomba,6,1,24
90,Perforación,2024-03-03,Planta Separadora,Válvula,27,9,54
91,Mantenimiento,2024-09-04,Planta Eléctrica Loma,Filtro,8,0,32
91,Mantenimiento,2024-01-24,Oleoducto Andino,Válvula,13,1,65
91,Mantenimiento,2024-07-10,Planta Eléctrica Loma,Tubería,9,3,36
92,Producción,2024-01-11,Oleoducto Andino,Tubería,18,3,72
92,Producción,2024-09-13,Refinería VacaMuerta,Tanque,22,0,44
92,Producción,2024-09-26,Gasoducto Sur,Tanque,10,0,20
93,Logística,2024-12-09,Refinería VacaMuerta,Filtro,10,0,20
93,Logística,2024-04-04,Refinería VacaMuerta,Tanque,9,1,18
93,Logística,2024-06-04,Gasoducto Sur,Tubería,8,2,16
93,Logística,2024-10-06,Planta Separadora,Válvula,13,4,52
93,Logística,2024-02-24,Refinería VacaMuerta,Tubería,25,6,100
94,Mantenimiento,2024-12-20,Refinería VacaMuerta,Filtro,13,3,52
94,Mantenimiento,2024-04-15,Planta Eléctrica Loma,Tubería,10,1,40
94,Mantenimiento,2024-03-06,Gasoducto Sur,Bomba,8,2,24
94,Mantenimiento,2024-04-22,Refinería VacaMuerta,Válvula,18,5,90
95,Seguridad,2024-01-24,Planta Separadora,Válvula,16,1,48
95,Seguridad,2024-11-20,Gasoducto Sur,Tubería,16,1,48
95,Seguridad,2024-10-12,Gasoducto Sur,Tanque,5,1,15
96,Seguridad,2024-01-21,Gasoducto Sur,Tanque,11,3,33
96,Seguridad,2024-04-11,Refinería VacaMuerta,Bomba,20,4,100
96,Seguridad,2024-06-07,Planta Eléctrica Loma,Tubería,20,6,60
97,Producción,2024-08-03,Planta Separadora,Tanque,27,9,108
97,Producción,2024-08-28,Gasoducto Sur,Bomba,5,1,15
98,Logística,2024-02-28,Planta Separadora,Filtro,11,2,44
98,Logística,2024-04-22,Planta Eléctrica Loma,Tubería,23,0,92
98,Logística,2024-05-25,Oleoducto Andino,Tubería,26,7,104
99,Logística,2024-02-21,Oleoducto Andino,Tubería,5,0,10
99,Logística,2024-08-17,Planta Eléctrica Loma,Válvula,19,1,95
100,Seguridad,2024-07-05,Refinería VacaMuerta,Tubería,13,1,26
100,Seguridad,2024-03-17,Planta Eléctrica Loma,Válvula,29,8,145
100,Seguridad,2024-01-20,Planta Separadora,Válvula,17,4,51
100,Seguridad,2024-03-18,Planta Eléctrica Loma,Bomba,6,1,24
101,Producción,2024-09-22,Oleoducto Andino,Bomba,27,7,135
101,Producción,2024-04-21,Planta Separadora,Válvula,30,7,90
102,Seguridad,2024-01-02,Planta Eléctrica Loma,Válvula,14,3,56
102,Seguridad,2024-08-19,Gasoducto Sur,Tanque,12,2,24
102,Seguridad,2024-12-17,Oleoducto Andino,Tanque,12,1,60
103,Logística,2024-05-17,Refinería VacaMuerta,Tanque,26,8,104
103,Logística,2024-01-26,Planta Separadora,Válvula,21,4,42
103,Logística,2024-03-10,Refinería VacaMuerta,Filtro,15,4,75
103,Logística,2024-02-18,Oleoducto Andino,Filtro,12,0,36
103,Logística,2024-12-17,Gasoducto Sur,Filtro,28,6,56
104,Logística,2024-01-20,Planta Separadora,Tubería,25,0,50
104,Logística,2024-12-09,Planta Separadora,Válvula,7,1,28
104,Logística,2024-12-23,Planta Separadora,Bomba,25,4,50
104,Logística,2024-01-11,Planta Eléctrica Loma,Válvula,9,1,18
104,Logística,2024-02-01,Planta Eléctrica Loma,Filtro,22,7,66
105,Seguridad,2024-11-07,Gasoducto Sur,Tanque,18,4,90
105,Seguridad,2024-01-20,Planta Eléctrica Loma,Tubería,6,0,30
106,Seguridad,2024-03-27,Oleoducto Andino,Válvula,10,1,20
106,Seguridad,2024-03-11,Oleoducto Andino,Válvula,13,0,39
107,Logística,2024-02-15,Oleoducto Andino,Filtro,21,4,84
107,Logística,2024-03-07,Planta Separadora,Bomba,5,1,10
107,Logística,2024-01-01,Planta Eléctrica Loma,Tubería,8,2,24
108,Seguridad,2024-12-08,Oleoducto Andino,Válvula,29,6,116
108,Seguridad,2024-05-12,Oleoducto Andino,Tubería,30,1,60
109,Mantenimiento,2024-10-08,Planta Eléctrica Loma,Tubería,30,1,150
109,Mantenimiento,2024-02-08,Planta Separadora,Filtro,22,0,44
109,Mantenimiento,2024-07-03,Oleoducto Andino,Tubería,20,3,80
109,Mantenimiento,2024-02-16,Planta Separadora,Válvula,19,6,38
110,Perforación,2024-01-08,Gasoducto Sur,Tanque,20,3,60
110,Perforación,2024-11-14,Planta Eléctrica Loma,Bomba,14,1,28
110,Perforación,2024-10-18,Gasoducto Sur,Bomba,12,1,36
111,Producción,2024-04-11,Oleoducto Andino,Bomba,5,0,25
111,Producción,2024-09-09,Refinería VacaMuerta,Filtro,17,2,51
112,Producción,2024-09-28,Oleoducto Andino,Bomba,21,3,105
112,Producción,2024-01-24,Gasoducto Sur,Tanque,7,1,21
112,Producción,2024-04-01,Gasoducto Sur,Tubería,17,1,34
113,Mantenimiento,2024-09-05,Planta Eléctrica Loma,Bomba,11,3,44
113,Mantenimiento,2024-07-21,Planta Eléctrica Loma,Bomba,14,3,28
113,Mantenimiento,2024-05-16,Oleoducto Andino,Tubería,11,0,44
113,Mantenimiento,2024-07-07,Planta Eléctrica Loma,Tanque,7,1,21
113,Mantenimiento,2024-08-26,Refinería VacaMuerta,Filtro,11,1,44
114,Perforación,2024-11-16,Oleoducto Andino,Tanque,16,1,64
114,Perforación,2024-08-03,Gasoducto Sur,Bomba,15,1,45
115,Producción,2024-01-28,Planta Separadora,Bomba,28,5,84
115,Producción,2024-03-08,Gasoducto Sur,Filtro,5,1,25
